date,1,-1,0,pnl_no_fees,signal,pnl,pnl_pct,pnl_no_fees_pct,long_pnl_pct,short_pnl_pct,same_sig
2011-07-20,-3888.297480545296,-3555.4895017032254,0,-166.4039894210352,0,0.0,0.0,-0.008320199471051759,-0.1944148740272648,-0.17777447508516128,True
2011-08-17,4804.795276142256,-12248.582258390776,0,8526.688767266516,0,0.0,0.0,0.4263344383633258,0.2402397638071128,-0.6124291129195387,True
2011-09-14,608.4215486312933,-8052.208530879815,0,4330.315039755555,0,0.0,0.0,0.21651575198777773,0.030421077431564664,-0.4026104265439907,True
2011-10-12,-2811.7011386228146,-4632.085843625707,0,910.1923525014461,0,0.0,0.0,0.0455096176250723,-0.1405850569311407,-0.23160429218128534,True
2011-11-09,-3233.100822780921,-4210.6861594676,0,488.79266834333936,0,0.0,0.0,0.02443963341716697,-0.16165504113904605,-0.21053430797338,True
2011-12-07,-3135.7079162227064,-4308.079066025815,0,586.1855749015542,0,0.0,0.0,0.02930927874507771,-0.15678539581113532,-0.21540395330129078,True
2012-01-04,-3049.2382539201676,-4394.548728328354,0,672.6552372040932,0,0.0,0.0,0.033632761860204655,-0.15246191269600837,-0.21972743641641768,True
2012-02-01,-3250.8921316817978,-4192.894850566723,0,471.0013594424629,0,0.0,0.0,0.023550067972123147,-0.1625446065840899,-0.20964474252833615,True
2012-02-29,-7029.6365430552605,-414.1504391932608,0,-3307.7430519309996,0,0.0,0.0,-0.16538715259654999,-0.35148182715276305,-0.020707521959663043,True
2012-03-28,-2509.327581355465,-4934.459400893056,0,1212.5659097687953,0,0.0,0.0,0.060628295488439767,-0.12546637906777325,-0.24672297004465282,True
2012-04-25,-2238.8703905445263,-5204.916591703995,0,1483.0231005797343,0,0.0,0.0,0.07415115502898671,-0.11194351952722632,-0.26024582958519976,True
2012-05-23,-3894.043038576478,-3549.7439436720433,0,-172.14954745221746,0,0.0,0.0,-0.008607477372610873,-0.1947021519288239,-0.17748719718360217,True
2012-06-20,-2248.811680927489,-5194.975301321032,0,1473.0818101967718,0,0.0,0.0,0.07365409050983858,-0.11244058404637444,-0.2597487650660516,True
2012-07-18,-333.3727410891479,-7110.414241159373,0,3388.5207500351125,0,0.0,0.0,0.16942603750175564,-0.016668637054457393,-0.35552071205796865,True
2012-08-15,-3218.547817495946,-4225.239164752575,0,503.34567362831444,0,0.0,0.0,0.025167283681415725,-0.1609273908747973,-0.21126195823762875,True
