date,1,-1,0,signal,pnl,pnl_pct,long_pnl_pct,short_pnl_pct
2007-09-19,-2887.1041495463323,-3818.22129424065,0,1,-2887.1041495463323,-0.14435520747731662,-0.14435520747731662,-0.1909110647120325
2007-10-17,129.35568822372625,-6834.681132010708,0,1,129.35568822372625,0.006467784411186312,0.006467784411186312,-0.3417340566005354
2007-11-14,-1734.0285896792825,-4971.296854107699,0,1,-1734.0285896792825,-0.08670142948396413,-0.08670142948396413,-0.24856484270538495
2007-12-12,-4867.67059710874,-1837.6548466782401,0,-1,-1837.6548466782401,-0.091882742333912,-0.24338352985543701,-0.091882742333912
2008-01-09,-11732.392146656384,5027.0667028694015,0,0,0.0,0.0,-0.5866196073328193,0.2513533351434701
2008-02-06,184.83862538265066,-6890.164069169632,0,1,184.83862538265066,0.009241931269132532,0.009241931269132532,-0.3445082034584816
2008-03-05,-1281.1836524449093,-5424.141791342074,0,1,-1281.1836524449093,-0.06405918262224546,-0.06405918262224546,-0.27120708956710365
2008-04-02,-5740.533469809682,-964.7919739773042,0,0,0.0,0.0,-0.2870266734904841,-0.04823959869886522
2008-04-30,-387.2024849068239,-6318.1229588801625,0,0,0.0,0.0,-0.019360124245341195,-0.3159061479440081
2008-05-28,-6103.401403626323,-601.9240401606594,0,0,0.0,0.0,-0.3051700701813162,-0.03009620200803297
2008-06-25,2652.5423188725226,-9357.867762659505,0,-1,-9357.867762659505,-0.46789338813297526,0.1326271159436261,-0.46789338813297526
2008-07-23,-446.01994716917125,-6259.3054966178115,0,-1,-6259.3054966178115,-0.3129652748308906,-0.02230099735845856,-0.3129652748308906
2008-08-20,-11878.609600867581,5173.284157080599,0,-1,5173.284157080599,0.25866420785402994,-0.5939304800433791,0.25866420785402994
2008-09-17,14995.472188562457,-21700.79763234944,0,-1,-21700.79763234944,-1.085039881617472,0.7497736094281229,-1.085039881617472
2008-10-15,-12765.544010634396,6060.218566847415,0,-1,6060.218566847415,0.3030109283423707,-0.6382772005317199,0.3030109283423707
2008-11-12,-3986.449643340041,-2718.8758004469414,0,-1,-2718.8758004469414,-0.13594379002234708,-0.19932248216700205,-0.13594379002234708
2008-12-10,-9682.97909960374,2977.65365581676,0,-1,2977.65365581676,0.148882682790838,-0.48414895498018706,0.148882682790838
2009-01-07,-5264.278631935082,-1441.0468118519002,0,-1,-1441.0468118519002,-0.07205234059259501,-0.26321393159675405,-0.07205234059259501
2009-02-04,-4776.319821000319,-1929.0056227866637,0,0,0.0,0.0,-0.23881599105001597,-0.09645028113933318
2009-03-04,568.7406342356508,-7274.0660780226335,0,0,0.0,0.0,0.02843703171178254,-0.36370330390113165
2009-04-01,-4291.953475089683,-2413.3719686972995,0,-1,-2413.3719686972995,-0.12066859843486498,-0.21459767375448413,-0.12066859843486498
2009-04-29,-2494.248384611443,-4211.07705917554,0,0,0.0,0.0,-0.12471241923057214,-0.210553852958777
2009-05-27,-4580.631175165903,-2124.6942686210796,0,0,0.0,0.0,-0.22903155875829517,-0.10623471343105398
2009-06-24,-3188.6347437779727,-3516.69070000901,0,0,0.0,0.0,-0.15943173718889864,-0.17583453500045051
